일차,구분,뜻,표기
8일차,명사,식품,"食品 (しょくひん)"
8일차,명사,식물,"植物 (しょくぶつ)"
8일차,명사,식욕,"食欲 (しょくよく)"
8일차,명사,여자,"女子 (じょし)"
8일차,명사,초심자,"初心者 (しょしんしゃ)"
8일차,명사,식기,"食器 (しょっき)"
8일차,명사,서점,"書店 (しょてん)"
8일차,명사,여배우,"女優 (じょゆう)"
8일차,명사,서류,"書類 (しょるい)"
8일차,명사,소식,"知らせ (しらせ)"
8일차,명사,아는 사람,"知り合い (しりあい)"
8일차,명사,사립,"私立 (しりつ)"
8일차,명사,자료,"資料 (しりょう)"
8일차,명사,표시,"印 (しるし)"
8일차,명사,진학,"進学 (しんがく)"
8일차,명사,신칸센,"新幹線 (しんかんせん)"
8일차,명사,신호,"信号 (しんごう)"
8일차,명사,진찰,"診察 (しんさつ)"
8일차,명사,인종,"人種 (じんしゅ)"
8일차,명사,신청,"申請 (しんせい)"
8일차,명사,인생,"人生 (じんせい)"
8일차,명사,친척,"親戚 (しんせき)"
8일차,명사,신장 (키),"身長 (しんちょう)"
8일차,명사,진보,"進歩 (しんぽ)"
8일차,명사,심야,"深夜 (しんや)"
8일차,명사,친구,"親友 (しんゆう)"
8일차,명사,심리,"心理 (しんり)"
8일차,명사,친척,"親類 (しんるい)"
8일차,명사,식초,"酢 (す)"
8일차,명사,물방울,"水滴 (すいてき)"
8일차,명사,수도요금,"水道料金 (すいどうりょうきん)"
8일차,명사,수면,"睡眠 (すいみん)"
8일차,명사,수식,"数式 (すうしき)"
8일차,명사,막내,"末っ子 (すえっこ)"
8일차,명사,좋고 싫음,"好き嫌い (すききらい)"
8일차,명사,전부,"全て (すべて)"
8일차,명사,주거,"住まい (すまい)"
8일차,명사,구석,"隅 (すみ)"
8일차,명사,도면,"図面 (ずめん)"
8일차,명사,세금,"税 (ぜい)"
8일차,명사,정답,"正解 (せいかい)"
8일차,명사,성격,"性格 (せいかく)"
8일차,명사,생활비,"生活費 (せいかつひ)"
8일차,명사,청구서,"請求書 (せいきゅうしょ)"
8일차,명사,세금,"税金 (ぜいきん)"
8일차,명사,제한,"制限 (せいげん)"
